"filename", "language", "HTML", "JavaScript", "XML", "pip requirements", "Python", "CSS", "comment", "blank", "total"
"d:\Programming\CAPSTONE\.3 To Delete\test.py", "Python", 0, 0, 0, 0, 30, 0, 6, 12, 48
"d:\Programming\CAPSTONE\.3 To Delete\time.py", "Python", 0, 0, 0, 0, 6, 0, 2, 4, 12
"d:\Programming\CAPSTONE\.idea\CAPSTONE.iml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\Programming\CAPSTONE\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Programming\CAPSTONE\.idea\misc.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\Programming\CAPSTONE\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\Programming\CAPSTONE\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Programming\CAPSTONE\app.py", "Python", 0, 0, 0, 0, 464, 0, 87, 100, 651
"d:\Programming\CAPSTONE\requirements.txt", "pip requirements", 0, 0, 0, 39, 0, 0, 0, 0, 39
"d:\Programming\CAPSTONE\static\css\admin\edit_info.css", "CSS", 0, 0, 0, 0, 0, 82, 3, 21, 106
"d:\Programming\CAPSTONE\static\css\admin\members_info.css", "CSS", 0, 0, 0, 0, 0, 63, 5, 16, 84
"d:\Programming\CAPSTONE\static\css\admin\members_reg.css", "CSS", 0, 0, 0, 0, 0, 66, 3, 13, 82
"d:\Programming\CAPSTONE\static\css\admin\members_reg_face.css", "CSS", 0, 0, 0, 0, 0, 45, 3, 2, 50
"d:\Programming\CAPSTONE\static\css\admin\payment_history.css", "CSS", 0, 0, 0, 0, 0, 70, 2, 13, 85
"d:\Programming\CAPSTONE\static\css\admin\payment_remind.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 9, 65
"d:\Programming\CAPSTONE\static\css\admin\payment_reminder.css", "CSS", 0, 0, 0, 0, 0, 58, 5, 13, 76
"d:\Programming\CAPSTONE\static\css\admin\view_history.css", "CSS", 0, 0, 0, 0, 0, 38, 1, 1, 40
"d:\Programming\CAPSTONE\static\css\index.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 6, 31
"d:\Programming\CAPSTONE\static\css\login.css", "CSS", 0, 0, 0, 0, 0, 154, 5, 39, 198
"d:\Programming\CAPSTONE\static\css\member\payment.css", "CSS", 0, 0, 0, 0, 0, 46, 6, 14, 66
"d:\Programming\CAPSTONE\static\css\member\payment_history.css", "CSS", 0, 0, 0, 0, 0, 67, 2, 4, 73
"d:\Programming\CAPSTONE\static\css\member\payment_reminder.css", "CSS", 0, 0, 0, 0, 0, 68, 0, 14, 82
"d:\Programming\CAPSTONE\static\css\navbar.css", "CSS", 0, 0, 0, 0, 0, 166, 36, 42, 244
"d:\Programming\CAPSTONE\static\images\remind-exclamation.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Programming\CAPSTONE\static\js\navbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\CAPSTONE\templates\admin\edit_info.html", "HTML", 108, 0, 0, 0, 0, 0, 0, 5, 113
"d:\Programming\CAPSTONE\templates\admin\members_info.html", "HTML", 88, 0, 0, 0, 0, 0, 1, 6, 95
"d:\Programming\CAPSTONE\templates\admin\members_reg.html", "HTML", 227, 0, 0, 0, 0, 0, 5, 39, 271
"d:\Programming\CAPSTONE\templates\admin\members_reg_face.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Programming\CAPSTONE\templates\admin\payment_history.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 4, 46
"d:\Programming\CAPSTONE\templates\admin\payment_remind.html", "HTML", 29, 0, 0, 0, 0, 0, 13, 4, 46
"d:\Programming\CAPSTONE\templates\admin\payment_reminder.html", "HTML", 67, 0, 0, 0, 0, 0, 59, 12, 138
"d:\Programming\CAPSTONE\templates\admin\view_history.html", "HTML", 28, 0, 0, 0, 0, 0, 1, 4, 33
"d:\Programming\CAPSTONE\templates\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Programming\CAPSTONE\templates\login.html", "HTML", 63, 0, 0, 0, 0, 0, 1, 12, 76
"d:\Programming\CAPSTONE\templates\member\payment.html", "HTML", 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Programming\CAPSTONE\templates\member\payment_history.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Programming\CAPSTONE\templates\member\payment_reminder.html", "HTML", 28, 0, 0, 0, 0, 0, 13, 6, 47
"d:\Programming\CAPSTONE\templates\member\payment_verification.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Programming\CAPSTONE\templates\navbar.html", "HTML", 68, 0, 0, 0, 0, 0, 7, 9, 84
"Total", "-", 1796, 28, 343446, 88, 901, 1662, 6301, 820, 355042
